ccode,Name,aName,startDate,endDate,Capital,lat,lng
339,Albania,NA,1912,1920,Vlore,40.4660668,19.491356
339,Albania,NA,1920,2016,Tirana,41.3275459,19.8186982
341,Montenegro,NA,1800,1946,Cetinje,42.3930959,18.9115964
341,Montenegro,NA,1946,2016,Podgorica,42.4304196,19.2593642
343,Macedonia,NA,1800,2016,Skopje,41.9973462,21.4279956
344,Croatia,NA,1800,2016,Zagreb,45.8150108,15.9819189
345,Yugoslavia,NA,1800,2016,Belgrade,44.786568,20.4489216
346,Bosnia and Herzegovina,NA,1800,2016,Sarajevo,43.8562586,18.4130763
347,Kosovo,NA,1800,2016,Pristina,42.6629138,21.1655028
349,Slovenia,NA,1800,2016,Ljubljana,46.0569465,14.5057515
350,Greece,NA,1800,1821,Athens,37.9838096,23.7275388
350,Greece,NA,1821,1836,Nafplion,37.5673173,22.8015531
350,Greece,NA,1836,2016,Athens,37.9838096,23.7275388
352,Cyprus,NA,1800,2016,Nicosia,35.1855659,33.38227639999999
355,Bulgaria,NA,1800,2016,Sofia,42.6977082,23.3218675
359,Moldova,NA,1800,2016,Chisinau,47.0104529,28.8638102
360,Romania,NA,1800,2016,Bucharest,44.4267674,26.1025384
365,Russia,NA,1800,1914,Saint Petersburg,59.9342802,30.3350986
365,Russia,NA,1914,2016,Moscow,55.755826,37.6172999
366,Estonia,NA,1800,2016,Tallinn,59.43696079999999,24.7535747
367,Latvia,NA,1800,2016,Riga,56.9496487,24.1051865
368,Lithuania,NA,1922,1940,Kaunas,54.8985207,23.9035965
368,Lithuania,NA,1940,2016,Vilnius,54.6871555,25.2796514
369,Ukraine,NA,1800,2016,Kiev,50.4501,30.5234
370,Belarus,NA,1800,2016,Minsk,53.90453979999999,27.5615244
371,Armenia,NA,1800,2016,Yerevan,40.1791857,44.4991029
372,Georgia,NA,1800,2016,Tbilisi,41.7151377,44.827096
373,Azerbaijan,NA,1800,2016,Baku,40.40926169999999,49.8670924
375,Finland,NA,1800,1812,Turku,60.4518126,22.2666302
375,Finland,NA,1800,2016,Helsinki,60.16985569999999,24.9383791
380,Sweden,NA,1800,2016,Stockholm,59.32932349999999,18.0685808
385,Norway,NA,1800,2016,Oslo,59.9138688,10.7522454
390,Denmark,NA,1800,2016,Copenhagen,55.6760968,12.5683372
395,Iceland,NA,1800,2016,Reykjavik,64.12652059999999,-21.8174392
402,Cape Verde,NA,1800,2016,Praia,14.93305,-23.5133267
403,Sao Tome and Principe,NA,1800,2016,Sao Tome,0.3301924,6.733343
404,Guinea-Bissau,NA,1973,1974,Boe,11.7431904,-14.2134347
404,Guinea-Bissau,NA,1974,2016,Bissau,11.8816553,-15.6177942
411,Equatorial Guinea,NA,1800,2016,Malabo,3.7504118,8.7371039
420,Gambia,NA,1800,2016,Banjul,13.4548761,-16.5790323
432,Mali,NA,1800,2016,Bamako,12.6392316,-8.0028892
433,Senegal,NA,1800,2016,Dakar,14.716677,-17.4676861
434,Benin,NA,1800,2016,Porto-Novo,6.4968574,2.6288523
435,Mauritania,NA,1800,2016,Nouakchott,18.0735299,-15.9582372
436,Niger,NA,1800,2016,Niamey,13.5115963,2.1253854
437,Ivory Coast,NA,1983,2016,Yamoussoukro,6.827622799999999,-5.2893433
437,Ivory Coast,NA,1933,1983,Abidjan,5.3599517,-4.0082563
438,Guinea,NA,1800,2016,Conakry,9.641185499999999,-13.5784012
439,Burkina Faso,NA,1800,2016,Ouagadougou,12.3714277,-1.5196603
450,Liberia,NA,1800,2016,Monrovia,6.2907432,-10.7605239
451,Sierra Leone,NA,1800,2016,Freetown,8.4656765,-13.2317225
452,Ghana,NA,1800,2016,Accra,5.6037168,-0.1869644
461,Togo,NA,1800,2016,Lome,6.1724969,1.2313618
471,Cameroon,NA,1800,2016,Yaounde,3.8480325,11.5020752
475,Nigeria,NA,1800,1991,Lagos,6.5243793,3.3792057
475,Nigeria,NA,1991,2016,Abuja,9.0764785,7.398574
481,Gabon,NA,1800,2016,Libreville,0.4161976,9.4672676
482,Central African Republic,NA,1800,2016,Bangui,4.3946735,18.5581899
483,Chad,NA,1800,2016,N'Djamena,12.1348457,15.0557415
484,Congo,NA,1800,2016,Brazzaville,-4.2633597,15.2428853
490,Democratic Republic of the Congo,NA,1800,2016,Kinshasa,-4.4419311,15.2662931
500,Uganda,NA,1800,2016,Kampala,0.3475964,32.5825197
501,Kenya,NA,1800,2016,Nairobi,-1.2920659,36.8219462
510,Tanzania,NA,1800,2016,Dodoma,-6.162959000000001,35.7516069
511,Zanzibar,NA,1800,2016,Zanzibar City,-6.165916999999999,39.202641
516,Burundi,NA,1800,2016,Bujumbura,-3.361378,29.3598782
