ccode,Name,aName,startDate,endDate,Capital
651,Egypt,,,,Cairo
652,Syria,,,,Damascus
660,Lebanon,,,,Beirut
663,Jordan,,,,Amman
666,Israel,,,,Jerusalem
670,Saudi Arabia,,,,Riyadh
678,Yemen Arab Republic,Yemen,,,Sanaa
679,Yemen,,,,Sanaa
680,Yemen People's Republic,Yemen,,,Aden
690,Kuwait,,,,Kuwait City
692,Bahrain,,,,Manama
694,Qatar,,,,Doha
696,United Arab Emirates,,,,Abu Dhabi
698,Oman,,,,Muscat
700,Afghanistan,,,,Kabul
701,Turkmenistan,,,,Ashgabat
702,Tajikistan,,,,Dushanbe
703,Kyrgyzstan,,,,Bishkek
704,Uzbekistan,,,,Tashkent
705,Kazakhstan,,1992,1998,Almaty
705,Kazakhstan,,1998,,Astana
710,China,,,,Beijing
712,Mongolia,,,,Ulaanbaatar
713,Taiwan,,,,Taipei
730,Korea,,,,Seoul
731,North Korea,,,,Pyongyang
732,South Korea,,,,Seoul
740,Japan,,,1868,Kyoto
740,Japan,,1868,,Tokyo
750,India,,,1912,Calcutta
750,India,,1912,,New Delhi
760,Bhutan,,,,Thimphu
770,Pakistan,,1947,1959,Karachi
770,Pakistan,,1959,1967,Rawalpindi
770,Pakistan,,1967,,Islamabad
771,Bangladesh,,,,Dhaka
775,Myanmar,,1948,2005,Rangoon
775,Myanmar,,2005,,Pyinmana
780,Sri Lanka,,,,Colombo
781,Maldive Islands,,,,Male
790,Nepal,,,,Kathmandu
800,Thailand,,,,Bangkok
811,Cambodia,,,,Phnom Penh
812,Laos,,,,Vientiane
816,Vietnam,,,,Hanoi
817,Republic of Vietnam,,,,Saigon
820,Malaysia,,,,Kuala Lumpur
830,Singapore,,,,Singapore
835,Brunei,,,,Bandar Seri Begawan
840,Philippines,,1948,1976,Quezon City
840,Philippines,,1976,,Manila
850,Indonesia,,,,Jakarta
860,East Timor,,,,Dili
900,Australia,,1901,1927,Melbourne
900,Australia,,1927,,Canberra
910,Papua New Guinea,,,,Port Moresby
920,New Zealand,,1840,1841,Russell
920,New Zealand,,1841,1865,Auckland
